Hela Wien är inte värt att hon sörjer sig sjuk eller arbetar sig trött	Swedish
دوێنێ شەو بۆ دەفعی حاجەت چوومە حەممامی غەفوور	Kurdish Sorani
Pourquoi ne me donne-t-on pas un fusil ?	Frence
Presently he came down, ruffled and yawning, from his afternoon sleep	English
Du vet, att jag aldrig brukar slå ihjäl någon	Swedish
شێوەزاری سۆرانی لە ناوچەکەدا پەرە دەستێنێ و دەبێتە زمانی خوێندن و نووسین	Kurdish Sorani
Ran over to call on you	English
Не допускається касаційне оскарження судового рішення першої інстанції без його перегляду в апеляційному порядку	Ukrainian
Тому я вам ще раз дякую, Тетяно Іванівно!	Ukrainian
Año nuevo, vida nueva	Spanish
Et cette fois-ci, je vais peut-être y parvenir	Frence
Но вот что ты мне скажи	Russian
Biraz sükûnet bulunca:	Turkish
Bana göre değil	Turkish
Bir tane bile mi?	Turkish
لا أعتقد أنّني سأنساك	Arabic
sépalo vuecencia:	Spanish
فَيَعْتَقِدُونَ أَنَّ قَوْلَهُ حَقٌّ مُتَّبَعٌ	Arabic
Derbarê deh kesan de biryara desteserkirinê derket	Kurdish Kurmanji
He started violently	English
Ez di şûna wê de bûma ez ê biçûma nexweşxaneyeke din	Kurdish Kurmanji
مَعَ بَقَاءِ الْحَذَرِ وَالْإِشْفَاقِ الَّذِي لَا يَزُولُ عَنْهُ	Arabic
Ew nabersivîne	Kurdish Kurmanji
ئەوەی لە حەق لا نەدا تیپی ئەو هونەرمەندانە	Kurdish Sorani
Fakat nereden bileceksiniz?	Turkish
إنه لا يعرف كيف يقود سيارة	Arabic
"هتف ديما: "" أنا ديما! ألا يعمل كاشف المتصل عندك أم ماذا ؟"	Arabic
Pirtûka min ket xwarê	Kurdish Kurmanji
Ji nexweş re êşbir divê	Kurdish Kurmanji
Allahın işine akıl ermez ki…	Turkish
su voz era lastimera, resignada, llena de penas:	Spanish
He and his friend soon after walked away and left me alone	English
He slept like a rock or a man that's dead	English
كنت طاغور ماثلا في خيالي	Arabic
Обвиняемый не обязан доказывать свою невиновность	Russian
ساقییا! وا بادەوە، وا بادەوە	Kurdish Sorani
Du börjar skrämmas	Swedish
Она бывала, по мере необходимости, его переписчицей, чертёжницей, чтицей, репетиторшей и памятной книжкой	Russian
tengo el propósito de secuestrarla a usted apenas nos hallemos en despoblado	Spanish
no todo van a ser deberes	Spanish
Regulation and governance removes ambiguity	English
Em dibexşînin	Kurdish Kurmanji
I'll have them all cleared away	English
Bu senin hatan değil	Turkish
Afterwards, however, he began to think things over	English
Гей, гей та й ге-ей!	Ukrainian
The wailing accompaniment was explained	English
Человек в черном пальто не ответил	Russian
Fit-il, en s'effrayant	Frence
La notion du temps avait disparu de mon esprit	Frence
Sabaha kadar uykusuz kaldığını, geceki işinin yoruculuğunu düşünerek onu rahatsız etmekten çekiniyordum	Turkish
Evet, özür dilerim	Turkish
The Military will adhere to international laws and standards	English
Jag har en svit på takvåningen	Swedish
On it I wrote in chalk the Greek letters	English
Hemos alterado las capturas y edición de este reportaje	Spanish
І на що люди звертають увагу	Ukrainian
Beni budala yerine mi koyuyordu acaba?	Turkish
За няньку хоть на ніж готів	Ukrainian
He pricked his ears; distant sounds of fighting still echoed in the wood	English
Girse ji heqîqetê bêhtir, nêzî demagojî, çîrvanok, mîtolojî û xeyalan in	Kurdish Kurmanji
Она к стенке на горке лежала, а я к столику лежал	Russian
But science tells, even in a confined space	English
Please rate the priority of the enhancement	English
Если это не угроза, то что же это?	Russian
Hediyeler!	Turkish
Hem insan kendi evinde kaybolur mu?	Turkish
Sürpriz mi?	Turkish
Точно, точно	Russian
por la clasificación de iguales	Spanish
Du skulle ingenting vara utan henne	Swedish
You have to leave your bag in the cloakroom	English
ئێستا بە کەسایەتییەکی ئۆپۆزسیۆن دادەنرێت لەو وڵاتە	Kurdish Sorani
أين أستطيع أن أجد سيارة أجرة؟	Arabic
Alors, l'après-midi entière, il flânochait dans le quartier	Frence
تێکەڵ ئەبن کچ و کوڕ	Kurdish Sorani
جار جارێ گۆرانیبێژ	Kurdish Sorani
Dans les deuils, protégé de ses mille rameaux	Frence
Ils lui ont offert sa Mini il y a deux ans !	Frence
В целом, инвестиции в здравоохранение действительно помогают значительно изменить ситуацию к лучшему	Russian
Перебирая платья, она тряхнула Женин сарафан, из его кармана выпала бумажка	Russian
Dilediğin, fakat elde edilmez sandığın şey, uçsuz bucaksız bir zenginlik midir?	Turkish
شەش سەد، حەوت سەد، هەشت سەد، نۆ سەد، هەزار	Kurdish Sorani
وَأَمَّا القاسِطونَ فَكانوا لِجَهَنَّمَ حَطَبًا	Arabic
Kısa ökçeli kahverengi iskarpinleri kaldırımlarda maharetle sekiyordu	Turkish
ساڵەهای ساڵە نە مرۆڤایەتی و نە زەمەن ناتوانێ لێکیان جیابکاتەوە	Kurdish Sorani
me mata, mi padre me mata. tranquila, yo asumo los riesgos	Spanish
Обещание, данное государствам-членам и народам мира, было сдержано	Russian
خۆشناوێک و سابڵاغییەکی دەق نەشکاو، تێک نەگەیشتوون	Kurdish Sorani
Intenté explicarle que eso estaba mal	Spanish
Мы можем и должны работать лучше	Russian
Аккумулятор	Russian
Чи бач, у мене розходились!	Ukrainian
Hey, bebek	Turkish
Min behs kir	Kurdish Kurmanji
Jag tyckte detta var humbug och skrev ut ordet	Swedish
صعقته الكهرباء بينما كان يعزف على آلة القانون الكهربائية	Arabic
Чего мы у себя в Организации Объединенных Наций сумели или намерены добиться?	Russian
Ці хлопці на доброму рахунку в Кам'янці, бувають там	Ukrainian
Ce grand Dieu du pardon sur la terre levé	Frence
Jag är upptagen med att rulla runt bland pengarna	Swedish
muy entretenida. porque a lo mejor hoy	Spanish
The heat was a short one	English
tu no predicas	Spanish
Düşüneyim	Turkish
Evet, ne olmuş?	Turkish
Maç bitti!	Turkish
Arrieros somos, y en el camino nos encontraremos	Spanish
قُل شيئاً, رجاءً	Arabic
لقد وضعت نفسك في وضع خطير	Arabic
لەلام وایە کە حەتتا خاکی ژێرکەوشی ڕەقیبانت	Kurdish Sorani
Oktoberhyran betalar sig inte själv	Swedish
hubieseis partido	Spanish
De måste väl veta, att Tåkern är gräsändernas egendom	Swedish
Okuyordum	Turkish
The Soldier with the green whiskers led them through the streets	English
Paris m’ennuie d’ailleurs	Frence
Jamais on n’y arriverait	Frence
Sağlığına!	Turkish
Це — Мотрин монастир, штаб гайдамаків	Ukrainian
Ez erebeyekê dixwazim, lê pereyê min tune	Kurdish Kurmanji
فَأَمَرَ بِالسُّؤَالِ وَحَثَّ عَلَيْهِ	Arabic
ella no comía	Spanish
من هو حيوانك المفضل ؟	Arabic
Hareket et!	Turkish
pues tengo que pedirte algo	Spanish
Такие усилия, которые необходимо продолжать, привели к значительному снижению темпов обезлесения	Russian
Mr Tod turned his back towards the bed, and undid the window	English
I have sent the copy up to London as it is	English
Det här är inte alls något betungande eller orimligt krav	Swedish
"I see a man,"" she whispered"	English
Hirç daketiye gund	Kurdish Kurmanji
Peynir…	Turkish
بنەماڵەکەیان زۆر گەورەیە	Kurdish Sorani
Ми виступаємо вночі до Холодного Яру	Ukrainian
Kerê şamê bi tirkî bersiv da min	Kurdish Kurmanji
حِفْظًا لَهُ وَضَنًّا بِهِ	Arabic
The blues and greens, commonly called Saxon, are best dyed in this place	English
Vous m’avez bien punie ! lui dit-elle	Frence
Quelques éclairs éloignés scarifiaient l’épaisse voûte de nuages	Frence
خۆزگە هێزی تۆم هەبوایە	Kurdish Sorani
Сегодняшняя система обязательств, закрепленная в Канкунских соглашениях, неадекватна	Russian
تا بەهاری داهاتوو لەوێ دەمێننەوە	Kurdish Sorani
Молодь харчується шкірою самиці, яка час від часу стає м'якою й пухкою	Ukrainian
Alarm!	Turkish
دەبوو هەموو ئەوانە لەبەرچاو بگریت	Kurdish Sorani
a sus hijos, desesperadas	Spanish
Ev kûçikekî reş e	Kurdish Kurmanji
هل سبق أن زرت بريطانيا ؟	Arabic
لا يسبقونه بالقول وهم بأمره يعملون	Arabic
Between him and the beach was the cane-grass fence of the compound	English
Misafir dudaklarında hep o hafif gülümseme ile etrafına bakmaya başladı:	Turkish
Как выедешь... — говорил он, перебивая рукой по крылу коляски	Russian
تۆپەکە تەقی	Kurdish Sorani
Har du något särskilt att rekommendera?	Swedish
Men jag undrar om han har så vackra blommor som jag!	Swedish
Nåja, en liten bit kunde han väl gå med dem	Swedish
Розтинала землю й приглядалася до кістяків борців	Ukrainian
Мужичонка изредка притоптывает	Russian
Вызов на дом	Russian
رَوَى عِكْرِمَةُ عَنْ ابْنِ عَبَّاسٍ رَضِيَ اللَّهُ عَنْهُ قَالَ	Arabic
Ez beziyam	Kurdish Kurmanji
دەمانەوێ تۆش کارێکت بە دڵی خۆت بۆ پەیدا بێ	Kurdish Sorani
Не по цего дуба миля	Ukrainian
Frågan om prövningstillstånd i målet i övrigt har förklarats vilande	Swedish
Как известно, трансатлантическая работорговля привела к самому крупному в истории перемещению людей	Russian
شەش و حەوت و هەشت و نۆ	Kurdish Sorani
Han visitado	Spanish
Ji kerema xwe, vê gotinê bigihînin hemû Kurdan	Kurdish Kurmanji
Her şey sona erdi	Turkish
Виступаємо всі	Ukrainian
Вишата широко всміхнувся й уперше, мабуть, за сі півтора тижня промовив слово:	Ukrainian
Ji ber vê xebatê te piroz dikim	Kurdish Kurmanji
دەربارەی ئیسلام بخوێننەوە	Kurdish Sorani
جودی، ئەو کچەیە کە پرچێکی درێژی ھەیە	Kurdish Sorani
Ces ondes, ces courants, ce trouble aérien	Frence
А Довбанюк також сплюне та й воркоче собі під носом:	Ukrainian
Ez ê li ba bikim	Kurdish Kurmanji
I am leaving the door open to sloth and slackness and other evils	English
The temple of his predecessor lost much of its importance	English
دەکرێت دواتر ئەمە بکەین؟	Kurdish Sorani
Hûn ê bêriya dibistanê nekin	Kurdish Kurmanji
el beso del final	Spanish
Sırtını duvara dayadıktan sonra teker teker saydı:	Turkish
فَلَوْلَا إِذَا بَلَغَتِ الْحُلْقُومَ	Arabic
ئایا پێویستە هەموومان لەوێ بین؟	Kurdish Sorani
Только еще хуже размажет	Russian
الجباه السمر بشر ومحبة	Arabic
Yo soy Ruth tu sierva: extiende el borde de tu capa sobre tu sierva	Spanish
Gelo di gerdûnê de em bi tenê ne?	Kurdish Kurmanji
Kunal is acting weird today	English
Не звучит, ничего не значит, глупое	Russian
دەمزانی نابێت هیچ بڵێم	Kurdish Sorani
Hayal kırıklığına uğrattığım için üzgünüm	Turkish
دەستەکانم ئارەقیان کرد	Kurdish Sorani
Dayik mêze dike ku kurê wê ji wê nagere	Kurdish Kurmanji
Evet baba	Turkish
Я думал, что я очень остроумный, скорее всего, именно так	Russian
Han var i och för sig gammal som gatan, redan då	Swedish
Ew dibore	Kurdish Kurmanji
Les deux cent vingt et un tirent Louis-Philippe roi	Frence
Süleyman'la pek arkadaştılar	Turkish
Gördüğüme sevindim	Turkish
Hapse giremem	Turkish
Je tremblais	Frence
لِأَنَّ تَرْكَ الِاسْتِطَالَةِ آلَفُ	Arabic
Oye. Ven acá y ve si me puedes sacar esta caja de herramientas	Spanish
Eh ! monsieur, il n’y a pas de philosophie qui tienne	Frence
Hans röst lät trött, och i hans blick läste åtminstone jag besvikenhet och vemod	Swedish
Om ni säger nej, sårar ni mig i djupet av mitt hjärta	Swedish
Необходимо продолжить демократические и конструктивные консультации и пойти навстречу друг другу	Russian
Bi giştî ji hunerê hez dikim	Kurdish Kurmanji
Les corvidés sont des oiseaux très intelligents	Frence
Ew bi Selena re ye û ew li ser dîwaran dinivîsin	Kurdish Kurmanji
Almak mı?	Turkish
Kes bi rewşa Helepçe an Kurdan nizane	Kurdish Kurmanji
Pira navbera xwastek û serkeftinê, dîsîplîn e	Kurdish Kurmanji
Un phare qui s’allume dans la sphère des idées	Frence
كان بإمكان فاضل أن يتّصل بالشّرطة	Arabic
Where are you for the day?	English
Min bar kir	Kurdish Kurmanji
si no te he podido convencer	Spanish
Buen servicio, mal galardón	Spanish
Acaba Prenses Hazretlerinin…	Turkish
Le collecteur est fixé à proximité du tuyau de descente d’eau	Frence
Det är måndagsmorgonens tragedi, som tar sin början	Swedish
Konkani has two dialects	English
كناطح صخرة يوما ليكسرها فلم يضرها وأوهى قرنه الوعل	Arabic
Bi eşkereyî qise bike!	Kurdish Kurmanji
З іншого боку підійшов медведівський отаман	Ukrainian
أنا حتى لم أعرف أنه توم	Arabic
De grälar, och de förtalar dig alldeles förfärligt	Swedish
All these things would mean ignominious exposure	English
Панам, підпанкам і слугам	Ukrainian
Du inser väl att staden håller på att sprängas i luften	Swedish
Evet, sağ ol	Turkish
مَا كَانَ شَنِيعَ الْبَدِيهَةِ مُسْتَنْكَرَ الظَّاهِرِ	Arabic
Екскурсії центром, переважно зведеним українськими архітекторами	Ukrainian
Eliyle kalbini gösterdi	Turkish
Почему Соединенные Штаты являются единственной страной, насаждающей по всему миру свои военные базы?	Russian
Eldivenler…	Turkish
В некоторых рабочих группах члены Комиссии были очень близки к преодолению разногласий	Russian
debes conocer algunos trucos	Spanish
شین و شەپۆڕە و گریان	Kurdish Sorani
muere en un sitio para renacer en otro	Spanish
Les filles sont prudes	Frence
Li malê hîn bûn	Kurdish Kurmanji
Mais le coup de queue du requin pouvait l’avoir frappé à mort	Frence
جعلنا توم رئيس الفريق	Arabic
أكره القهوة	Arabic
A qui la faute si elle s'était éprise plus que de raison ?	Frence
زۆر سەیرە، خۆ ئەمریکاش دەتوانێ هیلیکۆپتەر دروس کا!	Kurdish Sorani
si vas a ese barco es por algo	Spanish
На это, конечно же, надеюсь и я	Russian
Greek artists sometimes portrayed the human soul in the form of a butterfly	English
Lo quiera o no, es un descendiente de los invasores	Spanish
me mata no poder hacerlo. aunque ahora parezca imposible	Spanish
بڕۆ فێری کارێک بە	Kurdish Sorani
"He is a romantic,"" she said"	English
Il perd de sa vitesse et de sa température, mais il devient une mer	Frence
Все они внесли огромный вклад в эффективную работу Комитета	Russian
Ти ніколи не умреш!	Ukrainian
Переходимо до розгляду першого звіту	Ukrainian
La temática de Alfredo Espino está hecha de todas las cosas	Spanish
Тому ми вас підтримуємо	Ukrainian
ئێستە بۆ وا شۆڕەبی	Kurdish Sorani
Di hejmara yekem de şanenava di kovarê de cih girt	Kurdish Kurmanji
Det här har varit mitt livs lyckligaste tid	Swedish
Мы несем перед ливийским народом ответственность за надлежащее выполнение этих обязанностей	Russian
Bila jina te kin be	Kurdish Kurmanji
Автор данного проекта резолюции высказал пожелание, чтобы он был принят Комитетом без голосования	Russian
С этой буквицей нужно будет ещё поработать. Ну не подходит пока её оформление окружению	Russian
¿ Por qué está ese soldado atado a una bomba?	Spanish
النَّاسُ ثَلَاثَةُ أَصْنَافٍ	Arabic
ئەو ئامادەکارییانەی وڵاتانی ئەوروپی بۆ کۆچبەران کردوویانە هەمووی سەرەتایین	Kurdish Sorani
Kenara çekin!	Turkish
Dema ku qehweyê vedixwim xewa min nema tê	Kurdish Kurmanji
Того ж таки червця, в наступний день	Ukrainian
سەڕاج وتی: ئەوساکەش تۆ پێکەنیت،	Kurdish Sorani
El descifrado toma el texto cifrado y la clave correcta	Spanish
ئاوەکە دەکوڵێت	Kurdish Sorani
"Ne düşünüyorsun?"" diye sordu"	Turkish
los dientes	Spanish
Hinekî nêzî hev bin, bi piranî ji hev cuda ne	Kurdish Kurmanji
no sirve de nada cerrar los ojos a los problemas	Spanish
Et l'été qui s'enfuit est un ami qui part	Frence
Это звезды, треугольники, другие геометрические фигуры, произвольные линии, органические предметы	Russian
al acercarnos saludaron cristianamente:	Spanish
ئەوروپا ناوەندێکی تازەی پەتاکەیە	Kurdish Sorani
Det var min mormors överkast	Swedish
Me nebihîstiye	Kurdish Kurmanji
viví	Spanish
Alçak yerde tepecik kendisini dağ sanır	Turkish
И он поворачивался назад	Russian
Однако в Азии отмечается увеличение военных расходов, которые растут в геометрической прогрессии	Russian
Una retirada a tiempo es una victoria	Spanish
Please indicate your cellular provider	English
Откровенно говоря, проблема в этом контексте создана израильским правительством	Russian
Det är en riktigt kass film	Swedish
Vous épouse, travaille à votre avancement	Frence
Avez-vous envie d’assembler le peuple ?	Frence
Qui rit, pauvre blessé, du grabat où tu geins	Frence
¿él ha partido?	Spanish
I'm excited about starting this new job	English
Gelo xwedyê me û hebûna me em in	Kurdish Kurmanji
The fruits of the earth were boons conferred by him on men	English
Onu tekrar göğsüme bastım	Turkish
Le jeune homme vivait, hors de soi, en chaque aventure qui s'accomplissait	Frence
He began to talk about himself	English
لە ساتێکدا ئاگاداری بنکەی سپەیس ئێکسیان کردەوە	Kurdish Sorani
Tout serait gloire, azur, splendeur, joie infinie	Frence
Ben bebek değilim	Turkish
Вночі треба бути напоготові, бо собака може привести чекістів до землянок	Ukrainian
Några övergångsbestämmelser behövs inte	Swedish
سارا دایکی سێ منداڵە	Kurdish Sorani
Anställ allihop bums!	Swedish
Ez kesekî ji dûr ve dibînim	Kurdish Kurmanji
لا يستطيع المرء تفادي المشاكل دائماً	Arabic
Como puede comprobarse	Spanish
Ja, det var sant, hon, just hon, hade givit hans fiender vapen i händerna	Swedish
Would you like to eat a Scone?	English
Il a réussi à me faire encore plus peur	Frence
محەممەد پیاوێکی زۆر کاریزماتیکە	Kurdish Sorani
Благодарю представителя Соединенных Штатов за ее заявление и за ее добрые слова	Russian
abre la puerta	Spanish
ومنزل قينة سهل الجناب	Arabic
"Ev sahibi: ""On iki sene oluyor, değil mi?"" dedi"	Turkish
She began to answer them, and then broke off abruptly	English
Гуркоче грім в ковальні Бога. Стоять вої з кісьми до плеч	Ukrainian
Основное внимание на нынешней встрече на высшем уровне мы уделяем молодежи	Russian
cofradías de pescadores que realizan una pesca artesanal y sostenible	Spanish
The radio suffered from signal attenuation	English
Ev agahî bi kurtahî hatiye girtin û hatiye wergerandin	Kurdish Kurmanji
Dema ku ew jî çûn hawirdor ker bûbû	Kurdish Kurmanji
Adın!	Turkish
Elle est en traitement chez le docteur Véron	Frence
أود الاختلاء بتوم لبضع دقائق	Arabic
What sort of things are you interested in?	English
Ji falbêjan bawer nekin	Kurdish Kurmanji
Allez, recommence !	Frence
She merely moves her head in reply	English
Hin lawir jî, hem goşt dixwin, hem jî şînatiyan dixwin	Kurdish Kurmanji
Macide bir aralık kendi kendine:	Turkish
Gelek caran jî bi şêwazê vegotina nivîskar derbas dibe	Kurdish Kurmanji
Anyway, I ought to be off, I suppose	English
För en tid sedan träffade vi en representant för bokbranschen	Swedish
Jag ligger risigt till, om dom får reda på att jag tagit den	Swedish
El número de guerras en el mundo es más bajo que nunca	Spanish
Bûk û zava zû daneketin govendê	Kurdish Kurmanji
Plus un mot sur tout ceci	Frence
ella no comió	Spanish
In this life, you can choose between two courses	English
Bafil Talebanî li gel Serok Barzanî dicive	Kurdish Kurmanji
Illamåendet fick henne att kallsvettas	Swedish
Para todo hay remedio, si no es para la muerte	Spanish
Hon tog egentligen uppträdet mera självfallet än de andra	Swedish
В конце мы можем обсудить итог этих неофициальных заседаний	Russian
Du har högt uppsatta vänner	Swedish
Пішла на дзвін дякам копа	Ukrainian
Иван Парменов и его жена	Russian
Birdenbire içimden bir gülmek geldi	Turkish
خۆزگە منیش بەشدار بووبام	Kurdish Sorani
Nästan alla bär hattar med stora plymer	Swedish
Il faut du pain	Frence
Akıntıya kürek çekme, kurak yere ekin ekme	Turkish
Давайте делать все возможное для защиты, развития и поощрения этого движения	Russian
Та однієї весни	Ukrainian
The Egyptians had a similar gate for their Sun-God, Ra	English
Ji bo pêşketinê her roj gotarên akademîk dixwînim	Kurdish Kurmanji
Detta kan påverka rektors möjligheter att ta ansvar för skolbibliotekets verksamhet och utveckling	Swedish
Artêşa Rûsyayê ji derdora Kîyevê vedikşe	Kurdish Kurmanji
Его чёрные лакированные туфли сияли у каменной ступенечки, ведущей в табачную лавку	Russian
Все жив по ділам своїм	Ukrainian
The park was very large, and contained great variety of ground	English
de emergencia, viento de cola veinte nudos y dos mil pies	Spanish
Il l'abusait ainsi dans le désir de lui mieux plaire	Frence
Les bouches qui se pincent	Frence
Babasına çekmiş	Turkish
once fully melted add flour slowly till the mixture is a thick paste	English
قل يا قوم اعملوا على مكانتكم إني عامل فسوف تعلمون	Arabic
llegaremos al levantarse la luna	Spanish
Перепадя В	Ukrainian
Xweza jî xwe nû dike	Kurdish Kurmanji
Jag hälsar kvinnorna i riksdagen välkomna	Swedish
No solo de pan vive el hombre	Spanish
Senin burada ne işin var?	Turkish
Чітко визначені пріоритети і підходи	Ukrainian
Самі знаємо, що наше нещастя готове	Ukrainian
Det kan bli översvämning	Swedish
Cyrus Smith regardait en silence	Frence
Le souffle obscur de la caverne agitait ces courroies luisantes	Frence
tú partas	Spanish
Bilindbûna enflasyonê tesîrê zêdetir li kesên dahatkêm dike	Kurdish Kurmanji
Nisan…	Turkish
Di dozê de parêznameyeke gelek hêja, pêşkeş kir	Kurdish Kurmanji
Нашим ответом Израилю стала демонстрация нашей убежденности	Russian
І не вернути їх	Ukrainian
Biraz evvelki gibi ahbapça gülüyordu	Turkish
solo se recurre a ella para casos realmente graves	Spanish
دیمەشق لەکوێیە؟	Kurdish Sorani
Küçük çantamı yerden alıp yürümeye başladım	Turkish
Dijûnan jî lê bikî radigire, şerm nake	Kurdish Kurmanji
It domesticates her, as I may say	English
Порядок слів у реченні	Ukrainian
Are you sure that Oz will see you?	English
ئەو ماویەک پێشمەرگە بوو	Kurdish Sorani
La cuenta regresiva comenzará momentáneamente	Spanish
Kes sesini be!	Turkish
He seemed to have taken an immediate fancy to the lad	English
تسبّب مرض سامي النّفسي في إيقاف مشواره في عرض الأزياء	Arabic
Поэтому мы будем выступать за более широкую представленность таких государств в Совете	Russian
He and Clara turned away, mechanically taking the direction to the station	English
سێ ساڵە یەکترمان ناسیوە	Kurdish Sorani
والذين يسعون في آياتنا معاجزين أولئك في العذاب محضرون	Arabic
Дьюї про вільний розвиток дитини	Ukrainian
Men det är synd om flickorna i alla fall	Swedish
They always take care to prevent their soul from straying	English
C'est ainsi que notre âme abdique, c'est ainsi	Frence
خێزانەکە لە باکوورەوە ڕوویان کردە ئێرە	Kurdish Sorani
بلغت أول عمري أرذل العمر	Arabic
habrá bebido	Spanish
Je ne resterais pas longtemps	Frence
Народне волевиявлення здійснюється через вибори, референдум та інші форми безпосередньої демократії	Ukrainian
До сирних в маслі пирогів!	Ukrainian
Ew ne wekî her carê bêdeng man	Kurdish Kurmanji
Lakayt gözlerle onları seyreden Macide birdenbire sapsarı kesildi	Turkish
Regardez donc Mouton, madame	Frence
Ez arode nabim	Kurdish Kurmanji
Об него в темноте все спотыкаются	Russian
When my daughter was at school she was very keen on hockey	English
ئاسان نییە هەموو کەسێک لێت تێبگات	Kurdish Sorani
Уже совсем стемнело, и на юге, куда он смотрел, не было туч	Russian
Brygden var förstörd	Swedish
era tan famoso por su fiera bravura como por su galán arreo	Spanish
Li nav kampa Waşûkanî ya li Hesekê teqîn çêbû	Kurdish Kurmanji
‘Governor in?’ inquired Sam, in reply to the question	English
Наша страна не стремится причинить вред Ирану или какой-либо другой стране	Russian
Li Lalişê merasîma cejna sersalê ya Kurdên Êzidî	Kurdish Kurmanji
Han visste egentligen inte varför han tagit den med sig ut	Swedish
Il adorait ce petit, ce pauvre homme !	Frence
فَإِنَّ الْأَغْرَاضَ جَاذِبَةٌ وَالْهَوَى صَادٌّ	Arabic
يوجد هناك خمسون مقاطعة في الولايات المتحدة	Arabic
que yo no partiese	Spanish
عندي ثمانية إخوة	Arabic
The last of the old queen's scouts had come bringing news of a hive	English
tú no hubieses vivido	Spanish
Hur längesedan var det då?	Swedish
إن قلت لم أقدر ولم أستطع	Arabic
Allons, à votre tour, dis-je au harponneur	Frence
لم يخدعونا	Arabic
В ній був і перець, і шапран	Ukrainian
Они проговорили до трех часов ночи	Russian
Od yok ocak yok	Turkish
que incluyen el tramo de El Fargue-Saleres	Spanish
هل الحقيبة السوداء ملكك؟	Arabic
Jag stannar hemma	Swedish
أعتقد أنك محق	Arabic
ئەو کەسەی پەنجۆڵە بکوشێ جاروبار،	Kurdish Sorani
He went back to his work	English
Staten kan därför inte upplåta jakt och fiske annat än gemensamt med samebyn	Swedish
Мова – це не просто спосiб спiлкування, а щось бiльш значуще	Ukrainian
ئەنگوستیلەکەی لەدەست کرد	Kurdish Sorani
فَكَانَ وَعْدُهُ تَرْغِيبًا	Arabic
أحق برِفدك من آمليه	Arabic
Et les chardons, broutés par l'âne positif	Frence
Имея это в виду, теперь я предоставляю слово Южной Африке	Russian
Hat zanîn ku ew ji hev cuda nabin	Kurdish Kurmanji
Inget hade kunnat förbereda Lotta för synen som mötte henne runt hörnet	Swedish
